Store_Avg_Sales,Store_Size_Tier_Enc,Week,Month,Year,Is_EndOfYear,Holiday_Flag,Temperature,CPI,Unemployment,log_Weekly_Sales,Store,Date
1555264.3975524476,2,5,2,2010,0,0,42.31,211.0963582,8.106,14.312455428275923,1,2010-02-05
1899424.5726573425,2,5,2,2010,0,0,54.34,126.4420645,9.765,14.60080371296122,10,2010-02-05
518900.2819580419,0,5,2,2010,0,0,45.97,209.8529663,8.554,13.19190386159074,37,2010-02-05
893581.3904195804,1,5,2,2010,0,0,23.11,126.4420645,6.548,13.578568518879386,17,2010-02-05
438579.6162237762,0,5,2,2010,0,0,39.05,210.7526053,8.324,13.050028183719112,30,2010-02-05
706721.5326573426,1,5,2,2010,0,0,21.1,204.2471935,8.187,13.425770111777899,25,2010-02-05
1028501.0389510489,1,5,2,2010,0,0,24.36,135.3524608,8.283,13.847995531099514,22,2010-02-05
1389864.4604895106,2,5,2,2010,0,0,15.25,131.5279032,5.892,14.126461727850298,23,2010-02-05
1356755.3935664336,2,5,2,2010,0,0,22.43,131.5279032,8.326,14.143897791711575,24,2010-02-05
1444999.0356643356,2,5,2,2010,0,0,20.96,131.5279032,8.35,14.226054858441453,19,2010-02-05
756069.0833566433,1,5,2,2010,0,0,39.05,210.7526053,8.324,13.590609062371072,21,2010-02-05
1002911.8446853146,1,5,2,2010,0,0,9.55,131.5279032,8.488,13.849061584546545,26,2010-02-05
1450668.1291608391,2,5,2,2010,0,0,44.3,209.8529663,8.554,14.023010625541113,39,2010-02-05
908749.5183916084,1,5,2,2010,0,0,34.14,214.4714512,6.299,13.819640109616712,8,2010-02-05
1166568.154965035,1,5,2,2010,0,0,34.43,189.3816974,9.014,13.899499797058725,32,2010-02-05
623312.474965035,0,5,2,2010,0,0,19.83,131.5279032,8.35,13.387989148142418,15,2010-02-05
966781.5594405595,1,5,2,2010,0,0,35.44,126.4420645,9.521,13.770753707040539,34,2010-02-05
2003620.3062937064,2,5,2,2010,0,0,31.53,126.4420645,8.316,14.49213271431386,13,2010-02-05
385731.6532867133,0,5,2,2010,0,0,49.47,126.4420645,13.975,12.789675961305193,38,2010-02-05
543980.5523776223,0,5,2,2010,0,0,38.01,214.6554591,6.415,13.216775972681978,9,2010-02-05
1925751.3355244757,2,5,2,2010,0,0,40.19,210.7526053,8.324,14.574909070089168,2,2010-02-05
785981.4085314686,1,5,2,2010,0,0,27.31,181.8711898,8.992,13.69975229482183,45,2010-02-05
2107676.8703496503,2,5,2,2010,0,0,25.92,204.2471935,8.187,14.691560988601827,20,2010-02-05
